y_true,y_pred
11.1780615,11.583924
8.580584,8.846993
37.93579,37.507538
39.010857,39.60537
16.825607,16.479877
24.679855,24.561823
34.76609,34.66833
18.881948,18.547337
26.761524,26.332268
33.31164,33.853104
12.651735,12.325903
38.798317,38.61473
19.203537,19.376143
12.555538,12.325903
20.651945,20.455273
24.92352,24.703533
19.60645,19.4639
13.261992,13.540199
33.922527,33.798927
23.703232,23.56619
32.967968,32.414566
13.219282,13.377249
22.794477,22.735893
34.237865,34.374985
34.28758,34.45002
12.8057785,12.5156
10.198367,10.355902
8.92876,8.432842
10.078968,10.462387
23.770739,23.674736
21.06532,21.156683
33.659756,33.76374
26.072994,26.243792
24.359251,24.57387
15.3614435,15.579597
18.813705,18.510736
26.022594,26.332268
38.214687,38.58512
35.92549,35.36348
25.110666,25.376509
31.993046,31.594086
21.03297,21.265867
27.129164,27.840796
16.825047,16.68427
31.29854,31.437681
41.363014,41.446796
14.32184,14.420964
36.352787,36.844826
23.255627,23.752316
16.522837,16.479877
23.140865,23.608294
31.22855,31.437681
24.259983,24.561823
37.228672,37.711708
40.06469,40.23186
32.70539,32.226776
24.180191,24.551502
20.176575,20.350985
15.4081955,15.52718
22.662071,22.841795
36.42045,36.844826
9.772019,9.35822
35.109257,35.389378
39.229767,39.681763
41.78404,41.579994
31.100397,31.519503
9.956169,9.382027
34.525852,34.741726
16.83008,16.559519
34.79903,34.374985
40.08207,40.635254
34.248096,34.463505
14.800503,14.3589
33.234924,33.580124
28.27016,28.830414
22.588186,22.841795
34.401398,34.61399
14.52297,14.651115
21.990791,21.534817
33.049343,33.798927
28.242878,28.763544
24.99359,24.647692
19.704905,19.827757
22.835363,22.793554
27.947681,27.663843
16.202162,16.335627
16.828848,16.580479
24.213133,24.561052
33.48569,33.737377
23.485016,23.649769
14.128921,14.49943
13.965001,13.55873
24.39294,24.561823
33.89361,33.520775
36.2245,36.844826
22.481497,22.624384
40.936207,40.3957
22.379768,22.66223
34.500885,34.717415
28.970795,28.719633
20.646263,20.245493
17.118965,17.39391
21.741043,21.082827
15.911425,15.391254
13.974528,13.382096
36.408554,36.64732
8.267364,8.564631
37.120247,37.956223
14.364136,14.539373
33.39383,33.587273
35.020256,35.5466
11.252282,11.372178
14.26908,14.546832
17.133678,17.242735
10.058701,10.644331
8.859292,8.341696
23.319616,23.658998
39.3341,39.306824
21.602112,21.217924
23.15204,23.547262
38.197857,38.77487
40.006317,40.165905
27.832285,27.65777
14.281488,14.499432
14.240354,14.420966
20.808994,20.515846
36.995594,36.811348
13.43693,13.351247
34.60567,34.61399
41.28219,41.475258
8.181199,8.341696
40.56869,40.728157
33.20872,33.798927
16.843725,16.684267
37.953197,37.7078
32.76994,32.25357
19.0517,19.37614
15.44545,15.422379
15.645455,15.422379
31.824287,31.555233
14.126201,14.3589
13.442221,13.609104
12.00768,12.59194
15.555095,15.352983
18.147816,18.67741
35.781544,35.5466
12.264914,12.598816
32.429893,32.235764
21.434517,21.305616
36.018135,36.93512
37.34243,37.775536
29.913723,29.432922
41.225838,41.11744
24.634567,24.703533
